"","id","age","gender","training_condition","outcome","money_won","time_elapsed","strategy","know_ug","ug_strategy"
"1","id0001",68,"male","control",5,0.25,287616,"Always accept","no",NA
"2","id0002",36,"Male","training_others",0,0,359978,"I always rejected any offer less than $4","No",NA
"3","id0003",19,"Male","control",0,0,304725,"No.","No.",NA
"4","id0004",38,"female","training_others",6,0.3,401198,"I accepted all of them because rejecting them ment you got nothing.","no","n/a"
"5","id0005",32,"Male","control",4,0.2,334822,"I accepted what I thought was fair","Yes",NA
"6","id0006",65,"female","control",6,0.3,343887,"not to accept a dollar.","no","IDK"
"7","id0007",63,"female","control",6,0.3,372466,"accept human offers less but not AI.","no",NA
"8","id0008",23,"female","control",0,0,245266,"I wanted to make 4 or more","no",NA
"9","id0009",54,"FEMALE","control",3,0.15,407254,"I ACCEPTED THEM ALL","NO",NA
"10","id0010",40,"male","training_others",0,0,399735,"Monetary threshold as to what seemed acceptable or not","no",NA
"11","id0011",31,"female","training_others",3,0.15,384253,"no","no","na"
"12","id0012",38,"Female","training_others",5,0.25,516987,"I did not accept the offer if it was less than $3.","No.",NA
"13","id0013",38,"female","control",5,0.25,349206,"none","no",NA
"14","id0014",52,"male","training_others",4,0.2,436566,"I rejected anything that offered me less than $3","no","na"
"15","id0015",22,"f","training_others",0,0,324121,"no","yes","na"
"16","id0016",50,"male","training_others",0,0,460099,"i set a base offer to accept, not that it mattered","no","na"
"17","id0017",26,"FEMALE","training_others",0,0,484603,"Not really, just whatever is fair to me. Either we both get the same amount or none at all. ","yes",NA
"18","id0018",44,"male","control",0,0,319303,"I wanted at least 40% of the split.","no",NA
"19","id0019",50,"male","control",6,0.3,396322,"No strategy. I accepted all the offers as I don't see any benefit in rejecting them.","no",NA
"20","id0020",67,"female","control",5,0.25,411651,"I accepted closest to equal","no","na"
"21","id0021",71,"Female","training_others",0,0,494905,"I was thinking that I should have accepted all offers so that I would get some bonus. But, I decided that $1 was just unacceptable. And, of course, of the 2 or 3 that were $1 that was the one chosen for the bonus. So, actually, I got trained that something is better than nothing, lol.","No",NA
"22","id0022",38,"male","training_others",4,0.2,364778,"I accepted offers if I was offered at least $4.","no",NA
"23","id0023",29,"female","control",0,0,379716,"If it was $2 and under I rejected because it just seemed so low that I wouldn't even want it","no",NA
"24","id0024",33,"Female","training_others",3,0.15,407095,"I didn't accept anything 2 and below and accepted anything at 3 and above","I don't think so.",NA
"25","id0025",46,"Male","training_others",0,0,349345,"I wouldn't accept less than $4","no",NA
"26","id0026",35,"Female","control",4,0.2,451200,"Mostly if it was fair and balanced, I would accept","No","I would say accepting all offers to earn as much money as possible"
"27","id0027",21,"Male","control",5,0.25,350549,"I only accepted ones where I got at least 40% of the money","No that's not a name I recognize ",NA
"28","id0028",33,"male","control",0,0,456073,"I wouldn't accept anything lower than $4","No",NA
"29","id0029",30,"male","control",0,0,336167,"I rejected all offers because none of this is real","yes","i don't care"
"30","id0030",58,"male","training_others",0,0,602293,"no strategys","no","na"
"31","id0031",34,"Male","control",5,0.25,496646,"Yes, would accept anything above $3.","Yes",NA
"32","id0032",30,"Man","control",3,0.15,257123,"Always accept for the bonus.","No",NA
