"","id","age","gender","training_condition","outcome","money_won","time_elapsed","strategy","know_ug","ug_strategy"
"1","id0001",0,"Question not asked","training_self",1,0.15,434005,"no I just accepted all offers","no",NA
"2","id0002",0,"Question not asked","training_others",6,0.9,876972,"i had no strategies","yes","to reject unfair splits often enough to induce the proposer to always make a fair offer"
"3","id0005",0,"Question not asked","control",6,0.9,337400,"I picked offers that gave me the most money","Yes",NA
"4","id0006",0,"Question not asked","training_self",4,0.6,301597,"Always choose the bonus.","No",NA
"5","id0007",0,"Question not asked","training_self",6,0.9,318429,"3 out of 7 was OK","no",NA
"6","id0008",0,"Question not asked","training_others",5,0.75,509781,"when its 1 I rejected  it","yes","its nice playing the game "
"7","id0009",0,"Question not asked","training_others",5,0.75,308989,"Accepting everything to avoid getting $0.","No",NA
"8","id0010",0,"Question not asked","training_others",6,0.9,317440,"I accepted all offers where I would get $4 or more.","No","N/A"
"9","id0011",0,"Question not asked","training_self",6,0.9,308573,"as long as what i got was higher than 3 i accepted","no","na"
"10","id0012",0,"Question not asked","training_self",6,0.9,382811,"I decided to accept everything so I wouldn't miss out on a bonus like I did the first time around, though I did reject the super low offers","No",NA
"11","id0013",0,"Question not asked","training_self",0,0,338885,"accept three or higher","no",NA
"12","id0014",0,"Question not asked","training_others",5,0.75,459443,"Similar to the last time, I chose to accept all offers that offered me ANY amount of money. ","No",NA
"13","id0015",0,"Question not asked","control",5,0.75,355160,"If it was $1 or $2 for me, I rejected it. I accidently accepted one by hitting the f key instead of the j key.  ","no","na"
"14","id0016",0,"Question not asked","training_others",1,0.15,281414,"same as last time","no",NA
"15","id0017",0,"Question not asked","training_others",6,0.9,284130,"I accepted all offers to maximize the chance of receiving a bonus.","No.",NA
"16","id0019",0,"Question not asked","training_others",5,0.75,339790,"I just accepted all the offers because something was better than nothing","no",NA
"17","id0020",0,"Question not asked","training_others",1,0.15,317203,"no","no",NA
"18","id0023",0,"Question not asked","training_self",0,0,429041,"I was pickier with the AI's offers, and accepted all real people's offers.","Yes","Offer fair outcomes and accept all offers. "
"19","id0024",0,"Question not asked","control",0,0,547844,"I didn't accept anything where the offer was lower than $4.","no",NA
"20","id0025",0,"Question not asked","training_self",0,0,362841,"I accepted $4 or more","no",NA
"21","id0026",0,"Question not asked","control",0,0,277636,"I tried to choose offers that were a more even split.","No",NA
"22","id0029",0,"Question not asked","training_self",0,0,352995,"not really","no","na"
"23","id0030",0,"Question not asked","training_self",5,0.75,270185,"Anything at or above $4 for me was accepted","no",NA
"24","id0031",0,"Question not asked","control",0,0,329383,"Same as before - I rejected offers that weren't fair to me up until 6/4","No",NA
"25","id0032",0,"Question not asked","training_self",0,0,328775,"I wanted to accept offers where I would receive at least $3 and reject the offers that were only for $1 or $2.","No I have not",NA
"26","id0033",0,"Question not asked","training_self",2,0.3,527919,"none","no","na"
"27","id0034",0,"Question not asked","control",5,0.75,293665,"Accepted offers within 20% of equality.","No","N/A"
"28","id0035",0,"Question not asked","control",6,0.9,248363,"equal or in my favor ONLY","no",NA
"29","id0037",0,"Question not asked","training_others",1,0.15,247154,"Its better to earn any amount than 0","yes",NA
"30","id0038",0,"Question not asked","training_self",1,0.15,378914,"I accepted all offers since I was not training the AI and it was the only way to ensure I got a bonus of some amount. ","No",NA
"31","id0039",0,"Question not asked","training_others",6,0.9,283498,"I only rejected offers that were unfair i.e. 2 dollars or more off.","No",NA
"32","id0040",0,"Question not asked","training_others",4,0.6,338477,"I accepted deals that were close to50/50 and rejected those that were too lopsided","no","na"
"33","id0041",0,"Question not asked","training_self",0,0,283683,"I dont understand this study. Why wouldnt I just say yes to everything to get the bonus? Two times now with honest answers and no bonus. ","No",NA
"34","id0042",0,"Question not asked","training_others",0,0,498259,"N/A","No","N/A"
"35","id0043",0,"Question not asked","training_others",2,0.3,411959,"I accepted any offer that was better than receiving a 9:1 split. ","no",NA
"36","id0044",0,"Question not asked","training_others",0,0,393454,"If the offer was at least evenly split, I would accept the offer.","no",NA
"37","id0045",0,"Question not asked","training_others",5,0.75,300425,"no","yes",NA
"38","id0046",0,"Question not asked","control",6,0.9,634012,"I accepted all offers over $2, and accepted one offer of $2 from a participant, but not from AI","No",NA
"39","id0047",0,"Question not asked","control",2,0.3,355558,"I accepted everything that was over $1","no",NA
"40","id0049",0,"Question not asked","control",2,0.3,348775,"Winning something was better than nothing so I accepted them all","No",NA
"41","id0050",0,"Question not asked","training_others",4,0.6,330613,"As long as it was close to even, I accepted.","no",NA
"42","id0051",0,"Question not asked","training_others",0,0,402230,"I tried to pick ones that were equal or benefitted me","no",NA
"43","id0052",0,"Question not asked","control",5,0.75,362193,"I accepted offers that were equal, near equal, or higher than the A's or other particiapant's offer. I rejected offers that were significantly lower for me than the the AI or other person. I wanted to get the most money possible.","No",NA
"44","id0054",0,"Question not asked","control",0,0,314716,"no","no","na"
"45","id0056",0,"Question not asked","control",5,0.75,349327,"I followed my gut","no",NA
"46","id0057",0,"Question not asked","control",5,0.75,276453,"I chose the offer that benefited me the most ","no",NA
"47","id0058",0,"Question not asked","training_self",2,0.3,372199,"I wanted to receive money each offer.","No",NA
"48","id0059",0,"Question not asked","training_self",5,0.75,801518,"I decide to not go lower than $4 dollars on any offer.","No, I have not.",NA
