"","id","age","gender","training_condition","outcome","money_won","time_elapsed","strategy","know_ug","ug_strategy"
"1","id0001",0,"Question not asked","Proposer",3,0.45,390071,"just be moderately fair","no","make a precise decision"
"2","id0002",0,"Question not asked","None",6,0.9,389539,"at least $3 OFFER SEEMS FAIR","No",NA
"3","id0003",0,"Question not asked","Proposer",3,0.45,353814,"I just accepted any offer that didn't offer me $!","No",NA
"4","id0004",0,"Question not asked","None",4,0.6,382385,"Today I accepted all offers from another prolific participant. Why have us both with potentially $0.","no",NA
"5","id0005",0,"Question not asked","None",4,0.6,347414,"I accepted every offer to get some sort of bonus, because last game, I got zero.","No",NA
"6","id0006",0,"Question not asked","None",1,0.15,228564,"No","No",NA
"7","id0008",0,"Question not asked","None",6,0.9,291489,"same strategy as previous experiment. $5 and up","No",NA
"8","id0009",0,"Question not asked","Proposer",0,0,267282,"reject if not fair","no","na"
"9","id0010",0,"Question not asked","Proposer",6,0.9,402900,"At first I chose what seemed to be fairest regardless of opponenet. But, then I realized that AI isn't a real person and that any acceptance of money is just money for me ehehehehh","No","To ensure that you get the most money at the end, regardless of other people's earnings"
"10","id0011",0,"Question not asked","None",2,0.3,352434,"I accepted anything from the AI since it was just an AI. If it was a human and only offered me $1 I didn't accept it because they weren't being fair. $2 isn't fair either, but I took it anyway.","no","N/A"
"11","id0012",0,"Question not asked","None",0,0,284430,"no","no",NA
"12","id0013",0,"Question not asked","None",5,0.75,317818,"None","yes",NA
"13","id0014",0,"Question not asked","Proposer",5,0.75,641873,"I tried to keep it $4 and above","No",NA
"14","id0016",0,"Question not asked","None",0,0,255383,"i accepted what was equivalent or greater","no","na"
"15","id0017",0,"Question not asked","None",3,0.45,300184,"I just chose to accept all of the offers because if I rejected, neither of us would receive any money.","I have not.",NA
"16","id0019",0,"Question not asked","None",3,0.45,344723,"This time after knowing the rising bonus, I decided to go 2 or more for acceptance. ","No I haven't",NA
"17","id0020",0,"Question not asked","None",0,0,270738,"i was unwilling to accept anything below $4 for me","no",NA
"18","id0021",0,"Question not asked","None",6,0.9,257530,"no","no",NA
"19","id0022",0,"Question not asked","Proposer",6,0.9,305359,"I tried to be objectively fair","No",NA
"20","id0023",0,"Question not asked","None",2,0.3,447624,"I just rejected offers if I thought they were unfair","yes",NA
